backend,mode,rps_per_traefik,component,metric,value
elk,single,100,elasticsearch,cpu_cores_avg,0.07598976153846154
elk,single,100,kibana,cpu_cores_avg,0.021269923076923082
elk,single,100,elasticsearch,mem_ws_max_bytes,4537413632
elk,single,100,kibana,mem_ws_max_bytes,1127895040
elk,single,100,elasticsearch,mem_rss_max_bytes,4498513920
elk,single,100,kibana,mem_rss_max_bytes,1006473216
elk,single,100,backend,cpu_cores_avg,0.09725968461538462
elk,single,100,backend,mem_ws_max_bytes,5664759808
elk,single,100,traefik,rps_achieved,200
elk,single,100,fluent-bit,records_in,156157
elk,single,100,fluent-bit,records_out,156156
elk,single,100,fluent-bit,retries,0
elk,single,100,fluent-bit,errors,0
elk,single,100,192.168.1.63:9100,disk_delta_bytes,-24080384
elk,single,100,elasticsearch,disk_write_bytes_ps,505047.3025641026
elk,single,100,kibana,disk_write_bytes_ps,0
elk,single,100,elasticsearch,disk_read_bytes_ps,0
elk,single,100,kibana,disk_read_bytes_ps,0
elk,single,100,backend,disk_write_bytes_ps,505047.3025641026
elk,single,100,192.168.1.63:9100,host_write_bytes_ps,681721.4358974359
elk,single,100,192.168.1.63:9100,host_read_bytes_ps,0
elk,single,100,192.168.1.63:9100,host_write_iops,29.402564102564103
elk,single,100,192.168.1.63:9100,host_disk_busy,0.10527948717948717
elk,single,500,elasticsearch,cpu_cores_avg,0.16612562307692308
elk,single,500,kibana,cpu_cores_avg,0.021603273076923106
elk,single,500,elasticsearch,mem_ws_max_bytes,4550377472
elk,single,500,kibana,mem_ws_max_bytes,1128382464
elk,single,500,elasticsearch,mem_rss_max_bytes,4500287488
elk,single,500,kibana,mem_rss_max_bytes,1006989312
elk,single,500,backend,cpu_cores_avg,0.18772889615384616
elk,single,500,backend,mem_ws_max_bytes,5678239744
elk,single,500,traefik,rps_achieved,1000
elk,single,500,fluent-bit,records_in,780158
elk,single,500,fluent-bit,records_out,780343
elk,single,500,fluent-bit,retries,0
elk,single,500,fluent-bit,errors,0
elk,single,500,192.168.1.63:9100,disk_delta_bytes,-177082368
elk,single,500,elasticsearch,disk_write_bytes_ps,2039062.3179487179
elk,single,500,kibana,disk_write_bytes_ps,0
elk,single,500,elasticsearch,disk_read_bytes_ps,0
