backend,mode,rps_per_traefik,component,metric,value
openobserve,single,100,openobserve,cpu_cores_avg,0.018192921794871794
openobserve,single,100,openobserve,mem_ws_max_bytes,623206400
openobserve,single,100,openobserve,mem_rss_max_bytes,590036992
openobserve,single,100,backend,cpu_cores_avg,0.018192921794871794
openobserve,single,100,backend,mem_ws_max_bytes,623206400
openobserve,single,100,traefik,rps_achieved,199.99999999999997
openobserve,single,100,fluent-bit,records_in,156157
openobserve,single,100,fluent-bit,records_out,156156
openobserve,single,100,fluent-bit,retries,0
openobserve,single,100,fluent-bit,errors,0
openobserve,single,100,192.168.1.63:9100,disk_delta_bytes,-39530496
openobserve,single,100,openobserve,disk_write_bytes_ps,50853.415384615386
openobserve,single,100,openobserve,disk_read_bytes_ps,168.04102564102564
openobserve,single,100,backend,disk_write_bytes_ps,50853.415384615386
openobserve,single,100,192.168.1.63:9100,host_write_bytes_ps,90868.18461538461
openobserve,single,100,192.168.1.63:9100,host_read_bytes_ps,25305.928205128206
openobserve,single,100,192.168.1.63:9100,host_write_iops,1.2179487179487178
openobserve,single,100,192.168.1.63:9100,host_disk_busy,0.0017538461538461475
openobserve,single,500,openobserve,cpu_cores_avg,0.06891846025641023
openobserve,single,500,openobserve,mem_ws_max_bytes,908984320
openobserve,single,500,openobserve,mem_rss_max_bytes,874872832
openobserve,single,500,backend,cpu_cores_avg,0.06891846025641023
openobserve,single,500,backend,mem_ws_max_bytes,908984320
openobserve,single,500,traefik,rps_achieved,1000.001282051282
openobserve,single,500,fluent-bit,records_in,780157
openobserve,single,500,fluent-bit,records_out,780168
openobserve,single,500,fluent-bit,retries,0
openobserve,single,500,fluent-bit,errors,0
openobserve,single,500,192.168.1.63:9100,disk_delta_bytes,-47685632
openobserve,single,500,openobserve,disk_write_bytes_ps,250433.641025641
openobserve,single,500,openobserve,disk_read_bytes_ps,0
openobserve,single,500,backend,disk_write_bytes_ps,250433.641025641
openobserve,single,500,192.168.1.63:9100,host_write_bytes_ps,604742.8923076923
openobserve,single,500,192.168.1.63:9100,host_read_bytes_ps,146836.3487179487
openobserve,single,500,192.168.1.63:9100,host_write_iops,11.557692307692308
openobserve,single,500,192.168.1.63:9100,host_disk_busy,0.008789743589743583
