backend,mode,rps_per_traefik,component,metric,value
loki,cluster,100,loki,cpu_cores_avg,0.06968334487179487
loki,cluster,100,loki-grafana,cpu_cores_avg,0.010337233333333336
loki,cluster,100,minio,cpu_cores_avg,0.0018221153846153847
loki,cluster,100,loki,mem_ws_max_bytes,166494208
loki,cluster,100,loki-grafana,mem_ws_max_bytes,240160768
loki,cluster,100,minio,mem_ws_max_bytes,99004416
loki,cluster,100,loki,mem_ws_max_bytes,151281664
loki,cluster,100,loki,mem_ws_max_bytes,150941696
loki,cluster,100,loki,mem_rss_max_bytes,151949312
loki,cluster,100,loki-grafana,mem_rss_max_bytes,194408448
loki,cluster,100,minio,mem_rss_max_bytes,94507008
loki,cluster,100,loki,mem_rss_max_bytes,146776064
loki,cluster,100,loki,mem_rss_max_bytes,145780736
loki,cluster,100,backend,cpu_cores_avg,0.0818426935897436
loki,cluster,100,backend,mem_ws_max_bytes,805711872
loki,cluster,100,traefik,rps_achieved,199.99999999999997
loki,cluster,100,fluent-bit,records_in,156156
loki,cluster,100,fluent-bit,records_out,156156
loki,cluster,100,fluent-bit,retries,0
loki,cluster,100,fluent-bit,errors,0
loki,cluster,100,192.168.1.63:9100,disk_delta_bytes,2609152
loki,cluster,100,192.168.1.64:9100,disk_delta_bytes,12992512
loki,cluster,100,192.168.1.65:9100,disk_delta_bytes,9072640
loki,cluster,100,loki,disk_write_bytes_ps,989441.3128205128
loki,cluster,100,loki-grafana,disk_write_bytes_ps,1039.7538461538463
loki,cluster,100,minio,disk_write_bytes_ps,36428.14358974359
loki,cluster,100,loki,disk_read_bytes_ps,105.02564102564102
loki,cluster,100,loki-grafana,disk_read_bytes_ps,78.76923076923077
loki,cluster,100,minio,disk_read_bytes_ps,0
loki,cluster,100,backend,disk_write_bytes_ps,1026909.2102564102
loki,cluster,100,192.168.1.63:9100,host_write_bytes_ps,401696.8205128205
loki,cluster,100,192.168.1.64:9100,host_write_bytes_ps,326157.1282051282
loki,cluster,100,192.168.1.65:9100,host_write_bytes_ps,330069.3333333333
loki,cluster,100,192.168.1.63:9100,host_read_bytes_ps,808.6974358974359
loki,cluster,100,192.168.1.64:9100,host_read_bytes_ps,15.753846153846155
loki,cluster,100,192.168.1.65:9100,host_read_bytes_ps,15.753846153846155
loki,cluster,100,192.168.1.63:9100,host_write_iops,2.7974358974358973
loki,cluster,100,192.168.1.64:9100,host_write_iops,0.8961538461538462
loki,cluster,100,192.168.1.65:9100,host_write_iops,0.9230769230769231
loki,cluster,100,192.168.1.63:9100,host_disk_busy,0.006382051282051284
loki,cluster,100,192.168.1.64:9100,host_disk_busy,0.0020192307692307684
loki,cluster,100,192.168.1.65:9100,host_disk_busy,0.002129487179487179
loki,cluster,500,loki,cpu_cores_avg,0.1822901615384616
loki,cluster,500,loki-grafana,cpu_cores_avg,0.009478788461538466
loki,cluster,500,minio,cpu_cores_avg,0.004746429487179487
loki,cluster,500,loki,mem_ws_max_bytes,310816768
loki,cluster,500,loki-grafana,mem_ws_max_bytes,240381952
loki,cluster,500,minio,mem_ws_max_bytes,107175936
loki,cluster,500,loki,mem_ws_max_bytes,315142144
loki,cluster,500,loki,mem_ws_max_bytes,298475520
loki,cluster,500,loki,mem_rss_max_bytes,284024832
loki,cluster,500,loki-grafana,mem_rss_max_bytes,194707456
loki,cluster,500,minio,mem_rss_max_bytes,99078144
loki,cluster,500,loki,mem_rss_max_bytes,288612352
loki,cluster,500,loki,mem_rss_max_bytes,281776128
loki,cluster,500,backend,cpu_cores_avg,0.1965153794871795
loki,cluster,500,backend,mem_ws_max_bytes,1263308800
loki,cluster,500,traefik,rps_achieved,1000
loki,cluster,500,fluent-bit,records_in,780172
loki,cluster,500,fluent-bit,records_out,780154
loki,cluster,500,fluent-bit,retries,0
loki,cluster,500,fluent-bit,errors,0
loki,cluster,500,192.168.1.63:9100,disk_delta_bytes,-305147904
loki,cluster,500,192.168.1.64:9100,disk_delta_bytes,-265895936
loki,cluster,500,192.168.1.65:9100,disk_delta_bytes,-292532224
loki,cluster,500,loki,disk_write_bytes_ps,4640778.502564102
loki,cluster,500,loki-grafana,disk_write_bytes_ps,850.7076923076925
loki,cluster,500,minio,disk_write_bytes_ps,218054.23589743586
loki,cluster,500,loki,disk_read_bytes_ps,141.7846153846154
loki,cluster,500,loki-grafana,disk_read_bytes_ps,152.28717948717946
loki,cluster,500,minio,disk_read_bytes_ps,131.2820512820513
loki,cluster,500,backend,disk_write_bytes_ps,4859683.446153847
loki,cluster,500,192.168.1.63:9100,host_write_bytes_ps,1815063.6307692307
loki,cluster,500,192.168.1.64:9100,host_write_bytes_ps,1551296.9846153846
loki,cluster,500,192.168.1.65:9100,host_write_bytes_ps,1577180.553846154
loki,cluster,500,192.168.1.63:9100,host_read_bytes_ps,876.9641025641025
loki,cluster,500,192.168.1.64:9100,host_read_bytes_ps,1291.8153846153846
loki,cluster,500,192.168.1.65:9100,host_read_bytes_ps,11762.871794871795
loki,cluster,500,192.168.1.63:9100,host_write_iops,5.13974358974359
loki,cluster,500,192.168.1.64:9100,host_write_iops,2.085897435897436
loki,cluster,500,192.168.1.65:9100,host_write_iops,2.2525641025641026
loki,cluster,500,192.168.1.63:9100,host_disk_busy,0.0164576923076923
loki,cluster,500,192.168.1.64:9100,host_disk_busy,0.005765384615384615
loki,cluster,500,192.168.1.65:9100,host_disk_busy,0.006801282051282051
loki,cluster,1000,loki,cpu_cores_avg,0.07480568499999998
loki,cluster,1000,loki-grafana,cpu_cores_avg,0.01733447222222223
loki,cluster,1000,minio,cpu_cores_avg,0.002448237037037038
loki,cluster,1000,loki,mem_ws_max_bytes,441569280
loki,cluster,1000,loki-grafana,mem_ws_max_bytes,240054272
loki,cluster,1000,minio,mem_ws_max_bytes,108716032
loki,cluster,1000,loki,mem_ws_max_bytes,449916928
loki,cluster,1000,loki,mem_ws_max_bytes,442703872
loki,cluster,1000,loki,mem_rss_max_bytes,401162240
loki,cluster,1000,loki-grafana,mem_rss_max_bytes,194576384
loki,cluster,1000,minio,mem_rss_max_bytes,99221504
loki,cluster,1000,loki,mem_rss_max_bytes,416858112
loki,cluster,1000,loki,mem_rss_max_bytes,410415104
loki,cluster,1000,backend,cpu_cores_avg,0.09261012333333332
loki,cluster,1000,backend,mem_ws_max_bytes,1667338240
loki,cluster,1000,traefik,rps_achieved,1552.623148148148
loki,cluster,1000,fluent-bit,records_in,152015
loki,cluster,1000,fluent-bit,records_out,152016
loki,cluster,1000,fluent-bit,retries,0
loki,cluster,1000,fluent-bit,errors,0
loki,cluster,1000,192.168.1.63:9100,disk_delta_bytes,-183930880
loki,cluster,1000,192.168.1.64:9100,disk_delta_bytes,247963648
loki,cluster,1000,192.168.1.65:9100,disk_delta_bytes,221192192
loki,cluster,1000,loki,disk_write_bytes_ps,1654367.5733333335
loki,cluster,1000,loki-grafana,disk_write_bytes_ps,159.2888888888889
loki,cluster,1000,minio,disk_write_bytes_ps,58595.555555555555
loki,cluster,1000,loki,disk_read_bytes_ps,395.94666666666666
loki,cluster,1000,loki-grafana,disk_read_bytes_ps,326.162962962963
loki,cluster,1000,minio,disk_read_bytes_ps,30.340740740740742
loki,cluster,1000,backend,disk_write_bytes_ps,1707246.9333333336
loki,cluster,1000,192.168.1.63:9100,host_write_bytes_ps,513522.4754716981
loki,cluster,1000,192.168.1.64:9100,host_write_bytes_ps,459030.21886792453
loki,cluster,1000,192.168.1.65:9100,host_write_bytes_ps,465593.837037037
loki,cluster,1000,192.168.1.63:9100,host_read_bytes_ps,8926.188679245282
loki,cluster,1000,192.168.1.64:9100,host_read_bytes_ps,162.2943396226415
loki,cluster,1000,192.168.1.65:9100,host_read_bytes_ps,151.7037037037037
loki,cluster,1000,192.168.1.63:9100,host_write_iops,1.3773584905660377
loki,cluster,1000,192.168.1.64:9100,host_write_iops,0.8113207547169812
loki,cluster,1000,192.168.1.65:9100,host_write_iops,0.812962962962963
loki,cluster,1000,192.168.1.63:9100,host_disk_busy,0.3037188679245283
loki,cluster,1000,192.168.1.64:9100,host_disk_busy,0.6010150943396225
loki,cluster,1000,192.168.1.65:9100,host_disk_busy,0.21133333333333332
