backend,mode,rps_per_traefik,component,metric,value
loki,single,100,loki,cpu_cores_avg,0.03042611923076923
loki,single,100,loki-grafana,cpu_cores_avg,0.011522392307692308
loki,single,100,loki,mem_ws_max_bytes,165650432
loki,single,100,loki-grafana,mem_ws_max_bytes,340975616
loki,single,100,loki,mem_rss_max_bytes,158965760
loki,single,100,loki-grafana,mem_rss_max_bytes,215842816
loki,single,100,backend,cpu_cores_avg,0.04194851153846153
loki,single,100,backend,mem_ws_max_bytes,506138624
loki,single,100,traefik,rps_achieved,200
loki,single,100,fluent-bit,records_in,156158
loki,single,100,fluent-bit,records_out,156157
loki,single,100,fluent-bit,retries,0
loki,single,100,fluent-bit,errors,0
loki,single,100,192.168.1.63:9100,disk_delta_bytes,13565952
loki,single,500,loki,cpu_cores_avg,0.10184820769230771
loki,single,500,loki-grafana,cpu_cores_avg,0.010039279487179493
loki,single,500,loki,mem_ws_max_bytes,336969728
loki,single,500,loki-grafana,mem_ws_max_bytes,341942272
loki,single,500,loki,mem_rss_max_bytes,319172608
loki,single,500,loki-grafana,mem_rss_max_bytes,216895488
loki,single,500,backend,cpu_cores_avg,0.11188748717948718
loki,single,500,backend,mem_ws_max_bytes,678301696
loki,single,500,traefik,rps_achieved,999.998717948718
loki,single,500,fluent-bit,records_in,780155
loki,single,500,fluent-bit,records_out,780155
loki,single,500,fluent-bit,retries,0
loki,single,500,fluent-bit,errors,0
loki,single,500,192.168.1.63:9100,disk_delta_bytes,-277008384
loki,single,1000,loki,cpu_cores_avg,0.19738245769230775
loki,single,1000,loki-grafana,cpu_cores_avg,0.010445123076923078
loki,single,1000,loki,mem_ws_max_bytes,488259584
loki,single,1000,loki-grafana,mem_ws_max_bytes,341487616
loki,single,1000,loki,mem_rss_max_bytes,432345088
loki,single,1000,loki-grafana,mem_rss_max_bytes,216346624
loki,single,1000,backend,cpu_cores_avg,0.20782758076923077
loki,single,1000,backend,mem_ws_max_bytes,829399040
loki,single,1000,traefik,rps_achieved,1999.997435897436
loki,single,1000,fluent-bit,records_in,1560182
loki,single,1000,fluent-bit,records_out,1560157
loki,single,1000,fluent-bit,retries,0
loki,single,1000,fluent-bit,errors,0
loki,single,1000,192.168.1.63:9100,disk_delta_bytes,-255578112
loki,single,2000,loki,cpu_cores_avg,0.5242136435897435
loki,single,2000,loki-grafana,cpu_cores_avg,0.0132985
loki,single,2000,loki,mem_ws_max_bytes,614354944
loki,single,2000,loki-grafana,mem_ws_max_bytes,342204416
loki,single,2000,loki,mem_rss_max_bytes,498372608
loki,single,2000,loki-grafana,mem_rss_max_bytes,217079808
loki,single,2000,backend,cpu_cores_avg,0.5375121435897435
loki,single,2000,backend,mem_ws_max_bytes,955867136
loki,single,2000,traefik,rps_achieved,3999.994871794872
loki,single,2000,fluent-bit,records_in,3120138
loki,single,2000,fluent-bit,records_out,3120047
loki,single,2000,fluent-bit,retries,0
loki,single,2000,fluent-bit,errors,0
loki,single,2000,192.168.1.63:9100,disk_delta_bytes,-560394240
loki,single,0,loki,cpu_cores_avg,0.057344791666666686
loki,single,0,loki-grafana,cpu_cores_avg,0.01507302999999999
loki,single,0,loki,mem_ws_max_bytes,564039680
loki,single,0,loki-grafana,mem_ws_max_bytes,341880832
loki,single,0,loki,mem_rss_max_bytes,485732352
loki,single,0,loki-grafana,mem_rss_max_bytes,216727552
loki,single,0,backend,cpu_cores_avg,0.07241782166666667
loki,single,0,backend,mem_ws_max_bytes,905486336
loki,single,0,traefik,rps_achieved,286.43
loki,single,0,fluent-bit,records_in,148861
loki,single,0,fluent-bit,records_out,152966
loki,single,0,fluent-bit,retries,0
loki,single,0,fluent-bit,errors,0
loki,single,0,192.168.1.63:9100,disk_delta_bytes,1876193280
