backend,mode,rps_per_traefik,component,metric,value
openobserve,cluster,100,minio,cpu_cores_avg,0.001152342307692308
openobserve,cluster,100,nats,cpu_cores_avg,0.003294238461538461
openobserve,cluster,100,openobserve,cpu_cores_avg,0.023832029487179482
openobserve,cluster,100,postgres,cpu_cores_avg,0.0019685346153846157
openobserve,cluster,100,minio,mem_ws_max_bytes,78319616
openobserve,cluster,100,nats,mem_ws_max_bytes,11485184
openobserve,cluster,100,openobserve,mem_ws_max_bytes,368734208
openobserve,cluster,100,postgres,mem_ws_max_bytes,104534016
openobserve,cluster,100,openobserve,mem_ws_max_bytes,425025536
openobserve,cluster,100,openobserve,mem_ws_max_bytes,247959552
openobserve,cluster,100,minio,mem_rss_max_bytes,76451840
openobserve,cluster,100,nats,mem_rss_max_bytes,10723328
openobserve,cluster,100,openobserve,mem_rss_max_bytes,329953280
openobserve,cluster,100,postgres,mem_rss_max_bytes,66633728
openobserve,cluster,100,openobserve,mem_rss_max_bytes,420225024
openobserve,cluster,100,openobserve,mem_rss_max_bytes,243367936
openobserve,cluster,100,backend,cpu_cores_avg,0.030247144871794876
openobserve,cluster,100,backend,mem_ws_max_bytes,1162362880
openobserve,cluster,100,traefik,rps_achieved,200
openobserve,cluster,100,fluent-bit,records_in,156156
openobserve,cluster,100,fluent-bit,records_out,156254
openobserve,cluster,100,fluent-bit,retries,0
openobserve,cluster,100,fluent-bit,errors,0
openobserve,cluster,100,192.168.1.63:9100,disk_delta_bytes,-7421952
openobserve,cluster,100,192.168.1.64:9100,disk_delta_bytes,-33103872
openobserve,cluster,100,192.168.1.65:9100,disk_delta_bytes,-40960
openobserve,cluster,100,minio,disk_write_bytes_ps,1076.5128205128206
openobserve,cluster,100,nats,disk_write_bytes_ps,11458.297435897435
openobserve,cluster,100,openobserve,disk_write_bytes_ps,49687.630769230775
openobserve,cluster,100,postgres,disk_write_bytes_ps,2699.1589743589743
openobserve,cluster,100,minio,disk_read_bytes_ps,5.251282051282051
openobserve,cluster,100,nats,disk_read_bytes_ps,0
openobserve,cluster,100,openobserve,disk_read_bytes_ps,0
openobserve,cluster,100,postgres,disk_read_bytes_ps,257.3128205128205
openobserve,cluster,100,backend,disk_write_bytes_ps,64921.60000000001
openobserve,cluster,100,192.168.1.63:9100,host_write_bytes_ps,65157.907692307694
openobserve,cluster,100,192.168.1.64:9100,host_write_bytes_ps,64585.51794871795
openobserve,cluster,100,192.168.1.65:9100,host_write_bytes_ps,2457.6
openobserve,cluster,100,192.168.1.63:9100,host_read_bytes_ps,336.0820512820513
openobserve,cluster,100,192.168.1.64:9100,host_read_bytes_ps,10481.558974358974
openobserve,cluster,100,192.168.1.65:9100,host_read_bytes_ps,0
openobserve,cluster,100,192.168.1.63:9100,host_write_iops,5.069230769230769
openobserve,cluster,100,192.168.1.64:9100,host_write_iops,0.7692307692307693
openobserve,cluster,100,192.168.1.65:9100,host_write_iops,0.2858974358974359
openobserve,cluster,100,192.168.1.63:9100,host_disk_busy,0.0009846153846153854
openobserve,cluster,100,192.168.1.64:9100,host_disk_busy,0.00016538461538461254
openobserve,cluster,100,192.168.1.65:9100,host_disk_busy,0.000024358974358972245
openobserve,cluster,500,minio,cpu_cores_avg,0.0014912102564102554
openobserve,cluster,500,nats,cpu_cores_avg,0.0031535551282051285
openobserve,cluster,500,openobserve,cpu_cores_avg,0.07735457820512823
openobserve,cluster,500,postgres,cpu_cores_avg,0.0024749
openobserve,cluster,500,minio,mem_ws_max_bytes,90009600
openobserve,cluster,500,nats,mem_ws_max_bytes,13000704
openobserve,cluster,500,openobserve,mem_ws_max_bytes,822226944
openobserve,cluster,500,postgres,mem_ws_max_bytes,108224512
openobserve,cluster,500,openobserve,mem_ws_max_bytes,832081920
openobserve,cluster,500,openobserve,mem_ws_max_bytes,252022784
openobserve,cluster,500,minio,mem_rss_max_bytes,87080960
openobserve,cluster,500,nats,mem_rss_max_bytes,12111872
openobserve,cluster,500,openobserve,mem_rss_max_bytes,751423488
openobserve,cluster,500,postgres,mem_rss_max_bytes,70053888
openobserve,cluster,500,openobserve,mem_rss_max_bytes,760692736
openobserve,cluster,500,openobserve,mem_rss_max_bytes,247230464
openobserve,cluster,500,backend,cpu_cores_avg,0.08447424358974359
openobserve,cluster,500,backend,mem_ws_max_bytes,2076225536
openobserve,cluster,500,traefik,rps_achieved,1000
openobserve,cluster,500,fluent-bit,records_in,780155
openobserve,cluster,500,fluent-bit,records_out,780172
openobserve,cluster,500,fluent-bit,retries,0
openobserve,cluster,500,fluent-bit,errors,0
openobserve,cluster,500,192.168.1.63:9100,disk_delta_bytes,-40484864
openobserve,cluster,500,192.168.1.64:9100,disk_delta_bytes,-21655552
openobserve,cluster,500,192.168.1.65:9100,disk_delta_bytes,-45056
openobserve,cluster,500,minio,disk_write_bytes_ps,27669.005128205128
openobserve,cluster,500,nats,disk_write_bytes_ps,11164.22564102564
openobserve,cluster,500,openobserve,disk_write_bytes_ps,227254.48205128204
openobserve,cluster,500,postgres,disk_write_bytes_ps,3098.2564102564097
openobserve,cluster,500,minio,disk_read_bytes_ps,0
openobserve,cluster,500,nats,disk_read_bytes_ps,15.753846153846155
openobserve,cluster,500,openobserve,disk_read_bytes_ps,2641.3948717948715
openobserve,cluster,500,postgres,disk_read_bytes_ps,0
openobserve,cluster,500,backend,disk_write_bytes_ps,269185.96923076926
openobserve,cluster,500,192.168.1.63:9100,host_write_bytes_ps,180134.7282051282
openobserve,cluster,500,192.168.1.64:9100,host_write_bytes_ps,114498.95384615385
openobserve,cluster,500,192.168.1.65:9100,host_write_bytes_ps,2835.6923076923076
openobserve,cluster,500,192.168.1.63:9100,host_read_bytes_ps,2919.7128205128206
openobserve,cluster,500,192.168.1.64:9100,host_read_bytes_ps,1344.3282051282051
openobserve,cluster,500,192.168.1.65:9100,host_read_bytes_ps,0
openobserve,cluster,500,192.168.1.63:9100,host_write_iops,5.394871794871795
openobserve,cluster,500,192.168.1.64:9100,host_write_iops,0.7102564102564103
openobserve,cluster,500,192.168.1.65:9100,host_write_iops,0.35384615384615387
openobserve,cluster,500,192.168.1.63:9100,host_disk_busy,0.001275641025641027
openobserve,cluster,500,192.168.1.64:9100,host_disk_busy,0.0001333333333333323
openobserve,cluster,500,192.168.1.65:9100,host_disk_busy,0.00002307692307692395
openobserve,cluster,1000,minio,cpu_cores_avg,0.0021989692307692317
openobserve,cluster,1000,nats,cpu_cores_avg,0.0034631166666666663
openobserve,cluster,1000,openobserve,cpu_cores_avg,0.15930827692307695
openobserve,cluster,1000,postgres,cpu_cores_avg,0.0023782346153846164
openobserve,cluster,1000,minio,mem_ws_max_bytes,93786112
openobserve,cluster,1000,nats,mem_ws_max_bytes,13189120
openobserve,cluster,1000,openobserve,mem_ws_max_bytes,874401792
openobserve,cluster,1000,postgres,mem_ws_max_bytes,81862656
openobserve,cluster,1000,openobserve,mem_ws_max_bytes,901799936
openobserve,cluster,1000,openobserve,mem_ws_max_bytes,503422976
openobserve,cluster,1000,minio,mem_rss_max_bytes,87822336
openobserve,cluster,1000,nats,mem_rss_max_bytes,12382208
openobserve,cluster,1000,openobserve,mem_rss_max_bytes,803397632
openobserve,cluster,1000,postgres,mem_rss_max_bytes,40202240
openobserve,cluster,1000,openobserve,mem_rss_max_bytes,830623744
openobserve,cluster,1000,openobserve,mem_rss_max_bytes,496943104
openobserve,cluster,1000,backend,cpu_cores_avg,0.16734859743589742
openobserve,cluster,1000,backend,mem_ws_max_bytes,2179796992
openobserve,cluster,1000,traefik,rps_achieved,2000
openobserve,cluster,1000,fluent-bit,records_in,1560156
openobserve,cluster,1000,fluent-bit,records_out,1560158
openobserve,cluster,1000,fluent-bit,retries,0
openobserve,cluster,1000,fluent-bit,errors,0
openobserve,cluster,1000,192.168.1.63:9100,disk_delta_bytes,-58621952
openobserve,cluster,1000,192.168.1.64:9100,disk_delta_bytes,48766976
openobserve,cluster,1000,192.168.1.65:9100,disk_delta_bytes,-68386816
openobserve,cluster,1000,minio,disk_write_bytes_ps,98277.7435897436
openobserve,cluster,1000,nats,disk_write_bytes_ps,11411.035897435899
openobserve,cluster,1000,openobserve,disk_write_bytes_ps,555769.4358974359
openobserve,cluster,1000,postgres,disk_write_bytes_ps,3602.3794871794867
openobserve,cluster,1000,minio,disk_read_bytes_ps,0
openobserve,cluster,1000,nats,disk_read_bytes_ps,0
openobserve,cluster,1000,openobserve,disk_read_bytes_ps,21.005128205128205
openobserve,cluster,1000,postgres,disk_read_bytes_ps,0
openobserve,cluster,1000,backend,disk_write_bytes_ps,669060.5948717948
openobserve,cluster,1000,192.168.1.63:9100,host_write_bytes_ps,434554.09230769234
openobserve,cluster,1000,192.168.1.64:9100,host_write_bytes_ps,257953.47692307693
openobserve,cluster,1000,192.168.1.65:9100,host_write_bytes_ps,92401.55897435898
openobserve,cluster,1000,192.168.1.63:9100,host_read_bytes_ps,14383.261538461538
openobserve,cluster,1000,192.168.1.64:9100,host_read_bytes_ps,199.54871794871795
openobserve,cluster,1000,192.168.1.65:9100,host_read_bytes_ps,10523.569230769232
openobserve,cluster,1000,192.168.1.63:9100,host_write_iops,5.95
openobserve,cluster,1000,192.168.1.64:9100,host_write_iops,0.9564102564102565
openobserve,cluster,1000,192.168.1.65:9100,host_write_iops,0.7064102564102565
openobserve,cluster,1000,192.168.1.63:9100,host_disk_busy,0.0021602564102564084
openobserve,cluster,1000,192.168.1.64:9100,host_disk_busy,0.0009307692307692296
openobserve,cluster,1000,192.168.1.65:9100,host_disk_busy,0.00015512820512820341
openobserve,cluster,2000,minio,cpu_cores_avg,0.005096788461538461
openobserve,cluster,2000,nats,cpu_cores_avg,0.004273256410256407
openobserve,cluster,2000,openobserve,cpu_cores_avg,0.3841428679487179
openobserve,cluster,2000,postgres,cpu_cores_avg,0.003431133333333332
openobserve,cluster,2000,minio,mem_ws_max_bytes,104513536
openobserve,cluster,2000,nats,mem_ws_max_bytes,14594048
openobserve,cluster,2000,openobserve,mem_ws_max_bytes,961716224
openobserve,cluster,2000,postgres,mem_ws_max_bytes,87543808
openobserve,cluster,2000,openobserve,mem_ws_max_bytes,962383872
openobserve,cluster,2000,openobserve,mem_ws_max_bytes,554393600
openobserve,cluster,2000,minio,mem_rss_max_bytes,90906624
openobserve,cluster,2000,nats,mem_rss_max_bytes,13488128
openobserve,cluster,2000,openobserve,mem_rss_max_bytes,889679872
openobserve,cluster,2000,postgres,mem_rss_max_bytes,45821952
openobserve,cluster,2000,openobserve,mem_rss_max_bytes,890740736
openobserve,cluster,2000,openobserve,mem_rss_max_bytes,543711232
openobserve,cluster,2000,backend,cpu_cores_avg,0.39694404615384615
openobserve,cluster,2000,backend,mem_ws_max_bytes,2605281280
openobserve,cluster,2000,traefik,rps_achieved,3999.9987179487184
openobserve,cluster,2000,fluent-bit,records_in,3120163
openobserve,cluster,2000,fluent-bit,records_out,3120156
openobserve,cluster,2000,fluent-bit,retries,0
openobserve,cluster,2000,fluent-bit,errors,0
openobserve,cluster,2000,192.168.1.63:9100,disk_delta_bytes,-230318080
openobserve,cluster,2000,192.168.1.64:9100,disk_delta_bytes,21831680
openobserve,cluster,2000,192.168.1.65:9100,disk_delta_bytes,-130146304
openobserve,cluster,2000,minio,disk_write_bytes_ps,326503.7128205128
openobserve,cluster,2000,nats,disk_write_bytes_ps,11332.266666666666
openobserve,cluster,2000,openobserve,disk_write_bytes_ps,1117168.2461538462
openobserve,cluster,2000,postgres,disk_write_bytes_ps,3812.4307692307684
openobserve,cluster,2000,minio,disk_read_bytes_ps,0
openobserve,cluster,2000,nats,disk_read_bytes_ps,0
openobserve,cluster,2000,openobserve,disk_read_bytes_ps,16777.846153846152
openobserve,cluster,2000,postgres,disk_read_bytes_ps,15.753846153846155
openobserve,cluster,2000,backend,disk_write_bytes_ps,1458816.6564102566
openobserve,cluster,2000,192.168.1.63:9100,host_write_bytes_ps,863363.282051282
openobserve,cluster,2000,192.168.1.64:9100,host_write_bytes_ps,501093.08717948716
openobserve,cluster,2000,192.168.1.65:9100,host_write_bytes_ps,170136.28717948718
openobserve,cluster,2000,192.168.1.63:9100,host_read_bytes_ps,17045.66153846154
openobserve,cluster,2000,192.168.1.64:9100,host_read_bytes_ps,42.01025641025641
openobserve,cluster,2000,192.168.1.65:9100,host_read_bytes_ps,1312.820512820513
openobserve,cluster,2000,192.168.1.63:9100,host_write_iops,6.587179487179487
openobserve,cluster,2000,192.168.1.64:9100,host_write_iops,1.0923076923076922
openobserve,cluster,2000,192.168.1.65:9100,host_write_iops,0.6012820512820513
openobserve,cluster,2000,192.168.1.63:9100,host_disk_busy,0.09209358974358973
openobserve,cluster,2000,192.168.1.64:9100,host_disk_busy,0.008991025641025639
openobserve,cluster,2000,192.168.1.65:9100,host_disk_busy,0.007929487179487178
openobserve,cluster,0,minio,cpu_cores_avg,0.0014878483333333335
openobserve,cluster,0,nats,cpu_cores_avg,0.004294024999999998
openobserve,cluster,0,openobserve,cpu_cores_avg,0.05436961500000002
openobserve,cluster,0,postgres,cpu_cores_avg,0.002647903333333336
openobserve,cluster,0,minio,mem_ws_max_bytes,104615936
openobserve,cluster,0,nats,mem_ws_max_bytes,15142912
openobserve,cluster,0,openobserve,mem_ws_max_bytes,640925696
openobserve,cluster,0,postgres,mem_ws_max_bytes,91910144
openobserve,cluster,0,openobserve,mem_ws_max_bytes,635482112
openobserve,cluster,0,openobserve,mem_ws_max_bytes,274141184
openobserve,cluster,0,minio,mem_rss_max_bytes,90972160
openobserve,cluster,0,nats,mem_rss_max_bytes,14077952
