backend,mode,rps_per_traefik,component,metric,value
openobserve,single,100,openobserve,cpu_cores_avg,0.01780463974358975
openobserve,single,100,openobserve,mem_ws_max_bytes,589131776
openobserve,single,100,openobserve,mem_rss_max_bytes,579051520
openobserve,single,100,backend,cpu_cores_avg,0.01780463974358975
openobserve,single,100,backend,mem_ws_max_bytes,589131776
openobserve,single,100,traefik,rps_achieved,200
openobserve,single,100,fluent-bit,records_in,156156
openobserve,single,100,fluent-bit,records_out,156156
openobserve,single,100,fluent-bit,retries,0
openobserve,single,100,fluent-bit,errors,0
openobserve,single,100,192.168.1.63:9100,disk_delta_bytes,-12861440
openobserve,single,100,openobserve,disk_write_bytes_ps,51205.25128205128
openobserve,single,100,openobserve,disk_read_bytes_ps,299.3230769230769
openobserve,single,100,backend,disk_write_bytes_ps,51205.25128205128
openobserve,single,100,192.168.1.63:9100,host_write_bytes_ps,55306.502564102564
openobserve,single,100,192.168.1.63:9100,host_read_bytes_ps,929.4769230769231
openobserve,single,100,192.168.1.63:9100,host_write_iops,0.9282051282051282
openobserve,single,100,192.168.1.63:9100,host_disk_busy,0.00010256410256410265
openobserve,single,500,openobserve,cpu_cores_avg,0.06828156923076924
openobserve,single,500,openobserve,mem_ws_max_bytes,893939712
openobserve,single,500,openobserve,mem_rss_max_bytes,845590528
openobserve,single,500,backend,cpu_cores_avg,0.06828156923076924
openobserve,single,500,backend,mem_ws_max_bytes,893939712
openobserve,single,500,traefik,rps_achieved,999.998717948718
openobserve,single,500,fluent-bit,records_in,780158
openobserve,single,500,fluent-bit,records_out,780158
openobserve,single,500,fluent-bit,retries,0
openobserve,single,500,fluent-bit,errors,0
openobserve,single,500,192.168.1.63:9100,disk_delta_bytes,-45146112
openobserve,single,500,openobserve,disk_write_bytes_ps,241669.25128205126
openobserve,single,500,openobserve,disk_read_bytes_ps,504.12307692307695
openobserve,single,500,backend,disk_write_bytes_ps,241669.25128205126
openobserve,single,500,192.168.1.63:9100,host_write_bytes_ps,244247.63076923077
openobserve,single,500,192.168.1.63:9100,host_read_bytes_ps,567.1384615384616
openobserve,single,500,192.168.1.63:9100,host_write_iops,0.9243589743589744
openobserve,single,500,192.168.1.63:9100,host_disk_busy,0.0002974358974358977
openobserve,single,1000,openobserve,cpu_cores_avg,0.1423789205128205
openobserve,single,1000,openobserve,mem_ws_max_bytes,913514496
openobserve,single,1000,openobserve,mem_rss_max_bytes,861233152
openobserve,single,1000,backend,cpu_cores_avg,0.1423789205128205
openobserve,single,1000,backend,mem_ws_max_bytes,913514496
openobserve,single,1000,traefik,rps_achieved,2000.001282051282
openobserve,single,1000,fluent-bit,records_in,1560161
openobserve,single,1000,fluent-bit,records_out,1560162
openobserve,single,1000,fluent-bit,retries,0
openobserve,single,1000,fluent-bit,errors,0
openobserve,single,1000,192.168.1.63:9100,disk_delta_bytes,-102199296
openobserve,single,1000,openobserve,disk_write_bytes_ps,542457.4358974359
openobserve,single,1000,openobserve,disk_read_bytes_ps,315.0769230769231
openobserve,single,1000,backend,disk_write_bytes_ps,542457.4358974359
openobserve,single,1000,192.168.1.63:9100,host_write_bytes_ps,546710.9743589744
openobserve,single,1000,192.168.1.63:9100,host_read_bytes_ps,45292.307692307695
openobserve,single,1000,192.168.1.63:9100,host_write_iops,1.3858974358974359
openobserve,single,1000,192.168.1.63:9100,host_disk_busy,0.0014166666666666661
openobserve,single,2000,openobserve,cpu_cores_avg,0.38574861282051287
openobserve,single,2000,openobserve,mem_ws_max_bytes,1179451392
openobserve,single,2000,openobserve,mem_rss_max_bytes,1108176896
openobserve,single,2000,backend,cpu_cores_avg,0.38574861282051287
openobserve,single,2000,backend,mem_ws_max_bytes,1179451392
openobserve,single,2000,traefik,rps_achieved,3971.831098901099
openobserve,single,2000,fluent-bit,records_in,3120089
openobserve,single,2000,fluent-bit,records_out,3120091
openobserve,single,2000,fluent-bit,retries,0
openobserve,single,2000,fluent-bit,errors,0
openobserve,single,2000,192.168.1.63:9100,disk_delta_bytes,-295809024
openobserve,single,2000,openobserve,disk_write_bytes_ps,939753.6820512821
openobserve,single,2000,openobserve,disk_read_bytes_ps,278.3179487179487
openobserve,single,2000,backend,disk_write_bytes_ps,939753.6820512821
openobserve,single,2000,192.168.1.63:9100,host_write_bytes_ps,994435.282051282
openobserve,single,2000,192.168.1.63:9100,host_read_bytes_ps,278.3179487179487
openobserve,single,2000,192.168.1.63:9100,host_write_iops,1.9102564102564104
openobserve,single,2000,192.168.1.63:9100,host_disk_busy,0.18274871794871797
openobserve,single,0,openobserve,cpu_cores_avg,0.0038155583333332292
openobserve,single,0,openobserve,mem_ws_max_bytes,471699456
openobserve,single,0,openobserve,mem_rss_max_bytes,397242368
openobserve,single,0,backend,cpu_cores_avg,0.0038155583333332292
openobserve,single,0,backend,mem_ws_max_bytes,471699456
openobserve,single,0,traefik,rps_achieved,0
openobserve,single,0,fluent-bit,records_in,120
openobserve,single,0,fluent-bit,records_out,120
openobserve,single,0,fluent-bit,retries,0
openobserve,single,0,fluent-bit,errors,0
openobserve,single,0,192.168.1.63:9100,disk_delta_bytes,-69632
openobserve,single,0,openobserve,disk_write_bytes_ps,2423.466666666667
openobserve,single,0,openobserve,disk_read_bytes_ps,0
openobserve,single,0,backend,disk_write_bytes_ps,2423.466666666667
openobserve,single,0,192.168.1.63:9100,host_write_bytes_ps,6778.88
openobserve,single,0,192.168.1.63:9100,host_read_bytes_ps,143.36
openobserve,single,0,192.168.1.63:9100,host_write_iops,0.8733333333333333
openobserve,single,0,192.168.1.63:9100,host_disk_busy,0.008710000000000046
