backend,mode,rps_per_traefik,component,metric,value
victorialogs,single,100,victorialogs,cpu_cores_avg,0.020287532051282052
victorialogs,single,100,victorialogs,mem_ws_max_bytes,221954048
victorialogs,single,100,victorialogs,mem_rss_max_bytes,215998464
victorialogs,single,100,backend,cpu_cores_avg,0.020287532051282052
victorialogs,single,100,backend,mem_ws_max_bytes,221954048
victorialogs,single,100,traefik,rps_achieved,199.99999999999997
victorialogs,single,100,fluent-bit,records_in,156156
victorialogs,single,100,fluent-bit,records_out,156156
victorialogs,single,100,fluent-bit,retries,0
victorialogs,single,100,fluent-bit,errors,0
victorialogs,single,100,192.168.1.63:9100,disk_delta_bytes,-6627328
victorialogs,single,500,victorialogs,cpu_cores_avg,0.09606033589743589
victorialogs,single,500,victorialogs,mem_ws_max_bytes,252923904
victorialogs,single,500,victorialogs,mem_rss_max_bytes,246411264
victorialogs,single,500,backend,cpu_cores_avg,0.09606033589743589
victorialogs,single,500,backend,mem_ws_max_bytes,252923904
victorialogs,single,500,traefik,rps_achieved,1000
victorialogs,single,500,fluent-bit,records_in,780155
victorialogs,single,500,fluent-bit,records_out,780155
victorialogs,single,500,fluent-bit,retries,0
victorialogs,single,500,fluent-bit,errors,0
victorialogs,single,500,192.168.1.63:9100,disk_delta_bytes,-33472512
victorialogs,single,1000,victorialogs,cpu_cores_avg,0.1785337320512821
victorialogs,single,1000,victorialogs,mem_ws_max_bytes,288804864
victorialogs,single,1000,victorialogs,mem_rss_max_bytes,277549056
victorialogs,single,1000,backend,cpu_cores_avg,0.1785337320512821
victorialogs,single,1000,backend,mem_ws_max_bytes,288804864
victorialogs,single,1000,traefik,rps_achieved,1999.998717948718
victorialogs,single,1000,fluent-bit,records_in,1560157
victorialogs,single,1000,fluent-bit,records_out,1560156
victorialogs,single,1000,fluent-bit,retries,0
victorialogs,single,1000,fluent-bit,errors,0
victorialogs,single,1000,192.168.1.63:9100,disk_delta_bytes,-96858112
victorialogs,single,2000,victorialogs,cpu_cores_avg,0.35313565384615386
